Serie,000000000
Modelo,7370-2379
Fecha,5/5/2026 1:26:07 PM
Tiempo,5.694
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
F61,,P,0.032 s,,
    value,12.3902072906494 v,,,,
K16 Off Test,,P,0.031 s,,
    Current,0.3544205 ,,,,
F47,,P,0.062 s,,
    value,1.10746717453003 v,,,,
F47 Output On,,P,,,
K14 On Test Current,,P,0.031 s,,
    Current,3.841579 ,,,,
F47,,P,0.031 s,,
    value,12.4129190444946 v,,,,
K14 Off Test,,P,0.031 s,,
    Current,0.3555808 ,,,,
F66,,P,0.031 s,,
    value,1.05279982089996 v,,,,
F66 Output On,,P,0.016 s,,
K18 On Test Current,,P,0.016 s,,
    Current,3.84208 ,,,,
F66,,P,0.031 s,,
    value,12.4063100814819 v,,,,
K18 Off Test,,P,0.031 s,,
    Current,0.3546394 ,,,,
F65,,P,0.047 s,,
    value,1.28752148151398 v,,,,
F65 Output On,,P,,,
K24 On Test Current,,P,0.016 s,,
    Current,3.903457 ,,,,
F66,,P,0.031 s,,
    value,12.4029302597046 v,,,,
K24 Off Test,,P,0.032 s,,
    Current,0.3539318 ,,,,
F17,,P,0.046 s,,
    value,1.03421294689178 v,,,,
F17 Output On,,P,0.000 s,,
K23 On Test Current,,P,0.016 s,,
    Current,3.840234 ,,,,
F17,,P,0.032 s,,
    value,12.4020357131958 v,,,,
K23 Off Test,,P,0.031 s,,
    Current,0.3541622 ,,,,
F20 K5,,P,0.047 s,,
    value,1.26799035072327 v,,,,
F20 K5 Output On,,P,,,
K5 On Test Current,,P,0.031 s,,
    Current,3.903811 ,,,,
F20 K5,,P,0.031 s,,
    value,12.3974142074585 v,,,,
K5 Off Test,,P,0.031 s,,
    Current,0.3544214 ,,,,
F22,,P,0.031 s,,
    value,1.28354573249817 v,,,,
F22 Output On,,P,0.000 s,,
K2 On Test Current,,P,0.031 s,,
    Current,3.909013 ,,,,
F22,,P,0.031 s,,
    value,12.3915491104126 v,,,,
K2 Off Test,,P,0.031 s,,
    Current,0.3540072 ,,,,
Diodos,,P,0.390 s,,
Conecta Vbat a Gnd,,P,0.203 s,,
Prende Relay  2 Gray Owl,,P,0.000 s,,
Prende Relay 3 Gray Owl,,P,0.203 s,,
Prueba D1,,P,0.047 s,,
D1 Output On,,P,0.000 s,,
Measure D1,,P,0.047 s,,
    value,0.604428350925446 v,,,,
D1 Output Off,,P,,,
Prueba D2,,P,0.031 s,,
D2 Output On,,P,,,
Measure D2,,P,0.031 s,,
    value,12.1901254653931 v,,,,
D2 Output Off,,P,0.000 s,,
Conecta Gnd,,P,0.000 s,,
Apaga Relay  2 Gray Owl,,P,0.000 s,,
Apaga Relay 3 Gray Owl,,P,0.000 s,,
Voltaje Alterno Apagado,,P,0.156 s,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje PF7 Off,,P,0.062 s,,
Voltaje PF8 Off,,P,0.047 s,,
