Serie,000000000
Modelo,7370-2379
Fecha,5/5/2026 1:25:16 PM
Tiempo,5.772
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
K22 Output Off,,P,0.031 s,,
    value,12.3826532363892 v,,,,
K22 Off Test,,P,0.031 s,,
    Current,0.3552579 ,,,,
K9 ON,,P,,,
F26 Voltage On,,P,0.062 s,,
    value,1.35610413551331 v,,,,
F26 Output On,,P,0.000 s,,
K9 On Test Current,,P,0.032 s,,
    Current,3.90611 ,,,,
F36 Voltage On,,P,0.031 s,,
    value,1.20467567443848 v,,,,
F31 Voltage On,,P,0.031 s,,
    value,1.1101508140564 v,,,,
F26,,P,0.032 s,,
    value,12.9712715148926 v,,,,
F36,,P,0.031 s,,
    value,12.9722652435303 v,,,,
F31,,P,0.031 s,,
    value,12.9692344665527 v,,,,
K9 Off Test,,P,0.031 s,,
    Current,0.3562971 ,,,,
K1 Output,,P,0.031 s,,
    value,1.15030646324158 v,,,,
K1 Output On,,P,,,
K1 On Test Current,,P,0.031 s,,
    Current,3.993054 ,,,,
K1 Output Off,,P,0.031 s,,
    value,12.3923444747925 v,,,,
K1 Off Test,,P,0.031 s,,
    Current,0.3554388 ,,,,
K19 Output,,P,0.031 s,,
    value,1.11850011348724 v,,,,
K19 Output On,,P,,,
K19 On Test Current,,P,0.016 s,,
    Current,3.906273 ,,,,
K19 Output Off,,P,0.031 s,,
    value,12.3067655563354 v,,,,
K19 Off Test,,P,0.031 s,,
    Current,0.3552446 ,,,,
F4,,P,0.032 s,,
    value,1.28583180904388 v,,,,
F24,,P,0.031 s,,
    value,1.263716340065 v,,,,
F4 Output On,,P,0.000 s,,
K6 On Test Current,,P,0.031 s,,
    Current,3.91201 ,,,,
F04,,P,0.047 s,,
    value,12.3873748779297 v,,,,
F24,,P,0.031 s,,
    value,12.3902072906494 v,,,,
K6 Off Test,,P,0.031 s,,
    Current,0.3548405 ,,,,
F61,,P,0.031 s,,
    value,1.10055923461914 v,,,,
F61 Output On,,P,0.000 s,,
K16 On Test Current,,P,0.031 s,,
    Current,3.841171 ,,,,
F61,,P,0.031 s,,
    value,12.3891639709473 v,,,,
K16 Off Test,,P,0.032 s,,
    Current,0.3548711 ,,,,
F47,,P,0.062 s,,
    value,1.1753044128418 v,,,,
F47 Output On,,P,0.000 s,,
K14 On Test Current,,P,0.031 s,,
    Current,3.841121 ,,,,
F47,,P,0.031 s,,
    value,12.3960723876953 v,,,,
K14 Off Test,,P,0.031 s,,
    Current,0.3550074 ,,,,
F66,,P,0.031 s,,
    value,1.37285220623016 v,,,,
F66 Output On,,P,0.000 s,,
K18 On Test Current,,P,0.031 s,,
    Current,3.841223 ,,,,
F66,,P,0.031 s,,
    value,12.3960218429565 v,,,,
K18 Off Test,,P,0.032 s,,
    Current,0.3547598 ,,,,
F65,,P,0.031 s,,
    value,1.34392821788788 v,,,,
F65 Output On,,P,0.015 s,,
K24 On Test Current,,P,0.016 s,,
    Current,3.905011 ,,,,
F66,,P,0.032 s,,
    value,12.3978614807129 v,,,,
K24 Off Test,,P,0.015 s,,
    Current,0.3559434 ,,,,
F17,,P,0.031 s,,
    value,1.30754959583282 v,,,,
F17 Output On,,P,,,
K23 On Test Current,,P,0.031 s,,
    Current,3.844183 ,,,,
F17,,P,0.031 s,,
    value,12.3946304321289 v,,,,
K23 Off Test,,P,0.031 s,,
    Current,0.3582684 ,,,,
F20 K5,,P,0.032 s,,
    value,1.3020828962326 v,,,,
F20 K5 Output On,,P,0.015 s,,
K5 On Test Current,,P,0.016 s,,
    Current,3.906438 ,,,,
F20 K5,,P,0.046 s,,
    value,12.3925437927246 v,,,,
K5 Off Test,,P,0.016 s,,
    Current,0.3570257 ,,,,
F22,,P,0.031 s,,
    value,1.16223394870758 v,,,,
F22 Output On,,P,0.000 s,,
K2 On Test Current,,P,0.031 s,,
    Current,3.910705 ,,,,
F22,,P,0.031 s,,
    value,12.3920965194702 v,,,,
K2 Off Test,,P,0.031 s,,
    Current,0.3572466 ,,,,
Diodos,,P,0.390 s,,
Conecta Vbat a Gnd,,P,0.203 s,,
Prende Relay  2 Gray Owl,,P,,,
Prende Relay 3 Gray Owl,,P,0.203 s,,
Prueba D1,,P,0.047 s,,
D1 Output On,,P,,,
Measure D1,,P,0.047 s,,
    value,0.616057574748993 v,,,,
D1 Output Off,,P,,,
Prueba D2,,P,0.031 s,,
D2 Output On,,P,,,
Measure D2,,P,0.031 s,,
    value,12.1922626495361 v,,,,
D2 Output Off,,P,,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Voltaje Alterno Apagado,,P,0.156 s,,
Voltaje PF6 Off,,P,0.063 s,,
Voltaje PF7 Off,,P,0.046 s,,
Voltaje PF8 Off,,P,0.047 s,,
