Serial,Nest 1
Model,7370-2346
Date,5/14/2026 4:40:46 PM
Time,12.293
Description,Value,Result,Time,Details,Errors
K31 Time_on,,P,0.000 s,,
    Time,3.9307 ms,,,,
K31 Time_off,,P,0.000 s,,
    Time,3.3707 ms,,,,
K30 Time_on,,P,,,
    Time,3.7173 ms,,,,
K30 Time_off,,P,,,
    Time,3.3840 ms,,,,
K30NA Time Load Off,,P,,,
F25,,P,0.047 s,,
    value,11.9054536819458 v,,,,
K30 K31 Wiper Hi VD Test,,P,0.062 s,,
    value,0.15447923541069 v,,,,
Wait,,P,0.031 s,,
K30 K31 Off Test,,P,0.015 s,,
    Current,-0.00293332 ,,,,
Wait1,,P,0.031 s,,
K30 K31 Off Test,,P,0.015 s,,
    Current,-0.002958213 ,,,,
F68,,P,0.047 s,,
    value,0.148914903402328 v,,,,
K27 Off Test,,P,0.016 s,,
    Current,-0.003345673 ,,,,
F36 Time Load On,,P,,,
K10 Time_on,,P,,,
    Time,4.8373 ms,,,,
K10 Time_off,,P,,,
    Time,2.6213 ms,,,,
F36 Time Load Off,,P,,,
F36,,P,0.063 s,,
    value,0.0125887701287866 v,,,,
K10 Off Test,,P,0.015 s,,
    Current,-0.003568033 ,,,,
F54 Time Load On,,P,0.000 s,,
K18 Time_on,,P,,,
    Time,1.7547 ms,,,,
K18 Time_off,,P,0.000 s,,
    Time,2.1227 ms,,,,
F54 Time Load Off,,P,0.000 s,,
K18 ON,,P,0.000 s,,
K18 On Test,,P,0.015 s,,
    Current,-0.003411351 ,,,,
F54,,P,0.063 s,,
    value,0.144244849681854 v,,,,
K18 Off Test,,P,0.016 s,,
    Current,0.9938475 ,,,,
K18 OFF,,P,0.016 s,,
Dlay K20 On,,P,0.046 s,,
F43,,P,0.047 s,,
    value,12.6704006195068 v,,,,
F17,,P,0.063 s,,
    value,0.318974822759628 v,,,,
K20 Off Test,,P,0.031 s,,
    Current,-0.001972615 ,,,,
F43,,P,0.063 s,,
    value,0.640116274356842 v,,,,
F17,,P,0.047 s,,
    value,12.3644123077393 v,,,,
CONFIG COIL K3,,P,0.062 s,,
F55,,P,0.047 s,,
    value,12.7980318069458 v,,,,
K3 Off Test,,P,0.015 s,,
    Current,-0.001941038 ,,,,
Config Coil off,,P,0.063 s,,
K32-K34,,P,0.327 s,,
F73,,P,0.062 s,,
    value,0.209327653050423 v,,,,
K34 Off Test,,P,0.031 s,,
    Current,-0.000342997 ,,,,
F73,,P,0.063 s,,
    value,0.069523811340332 v,,,,
K32 Coil GND Off,,P,0.046 s,,
k21NA Time Load On,,P,,,
K21 Time_on,,P,0.000 s,,
    Time,2.6187 ms,,,,
K21 Time_off,,P,,,
    Time,1.9627 ms,,,,
k21NA Time Load Off,,P,,,
K21_NA,,P,0.062 s,,
    value,0.0218295361846685 v,,,,
K21 Off Test,,P,0.016 s,,
    Current,-0.004647662 ,,,,
K13 Coil GND Off,,P,0.078 s,,
K13 Time_on,,P,0.000 s,,
    Time,9.0987 ms,,,,
K13 Time_off,,P,0.000 s,,
    Time,5.0000 ms,,,,
F37,,P,0.062 s,,
    value,0.125266492366791 v,,,,
F93,,P,0.047 s,,
    value,0.194373518228531 v,,,,
K13 Off Test,,P,0.016 s,,
    Current,-0.004684957 ,,,,
K13 Coil GND Off1,,P,0.062 s,,
F42 Time Load On,,P,,,
K19 Time_on,,P,,,
    Time,2.7680 ms,,,,
K19 Time_off,,P,0.000 s,,
    Time,2.2053 ms,,,,
F42 Time Load Off,,P,0.000 s,,
F42,,P,0.047 s,,
    value,0.0230715740472078 v,,,,
K19 Off Test,,P,0.015 s,,
    Current,-0.002982494 ,,,,
F19A,,P,0.047 s,,
    value,0.70485132932663 v,,,,
K24 GrayOwl1 Off,,P,0.062 s,,
F19A,,P,0.047 s,,
    value,12.3550224304199 v,,,,
Diode Test,,P,0.421 s,,
D1 FV Test,,P,0.063 s,,
    value,0.898471236228943 v,,,,
D1 Wiper Hi VD Test,,P,0.047 s,,
    value,0.177443102002144 v,,,,
D2 FV Test,,P,0.062 s,,
    value,0.0856813117861748 v,,,,
D2 Wiper Hi VD Test,,P,0.047 s,,
    value,0.997585952281952 v,,,,
D1 RV Test,,P,0.062 s,,
    value,12.264949798584 v,,,,
D2 RV Test,,P,0.047 s,,
    value,12.2341966629028 v,,,,
