Serie,000000000
Modelo,7370-2379
Fecha,5/4/2026 7:09:35 AM
Tiempo,5.741
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
F33 Output On,,P,0.000 s,,
K12 On Test Current,,P,0.031 s,,
    Current,3.906445 ,,,,
K12 Output Off,,P,0.031 s,,
    value,12.3841943740845 v,,,,
K12 Off Test,,P,0.031 s,,
    Current,0.3518007 ,,,,
F67 Output,,P,0.062 s,,
    value,0.452950149774551 v,,,,
F16 Output,,P,0.031 s,,
    value,0.593892455101013 v,,,,
F67 Output On,,P,0.000 s,,
K22 On Test Current,,P,0.031 s,,
    Current,3.839315 ,,,,
K22 Output Off,,P,0.031 s,,
    value,12.4347362518311 v,,,,
K22 Off Test,,P,0.032 s,,
    Current,0.3526502 ,,,,
K9 ON,,P,0.000 s,,
F26 Voltage On,,P,0.046 s,,
    value,1.17575168609619 v,,,,
F26 Output On,,P,,,
K9 On Test Current,,P,0.016 s,,
    Current,3.901982 ,,,,
F36 Voltage On,,P,0.047 s,,
    value,1.03565418720245 v,,,,
F31 Voltage On,,P,0.031 s,,
    value,1.00727689266205 v,,,,
F26,,P,0.047 s,,
    value,12.9703273773193 v,,,,
F36,,P,0.031 s,,
    value,12.9692344665527 v,,,,
F31,,P,0.031 s,,
    value,12.9704265594482 v,,,,
K9 Off Test,,P,0.031 s,,
    Current,0.3524728 ,,,,
K1 Output,,P,0.031 s,,
    value,0.993957936763763 v,,,,
K1 Output On,,P,,,
K1 On Test Current,,P,0.031 s,,
    Current,3.9906 ,,,,
K1 Output Off,,P,0.031 s,,
    value,12.3906545639038 v,,,,
K1 Off Test,,P,0.032 s,,
    Current,0.3528882 ,,,,
K19 Output,,P,0.031 s,,
    value,1.00533866882324 v,,,,
K19 Output On,,P,0.015 s,,
K19 On Test Current,,P,0.031 s,,
    Current,3.90187 ,,,,
K19 Output Off,,P,0.031 s,,
    value,12.3073616027832 v,,,,
K19 Off Test,,P,0.031 s,,
    Current,0.3528168 ,,,,
F4,,P,0.031 s,,
    value,1.04792952537537 v,,,,
F24,,P,0.031 s,,
    value,1.07675409317017 v,,,,
F4 Output On,,P,0.000 s,,
K6 On Test Current,,P,0.032 s,,
    Current,3.908733 ,,,,
F04,,P,0.032 s,,
    value,12.3910026550293 v,,,,
F24,,P,0.031 s,,
    value,12.3932886123657 v,,,,
K6 Off Test,,P,0.031 s,,
    Current,0.3513587 ,,,,
F61,,P,0.031 s,,
    value,1.00648176670074 v,,,,
F61 Output On,,P,0.000 s,,
K16 On Test Current,,P,0.015 s,,
    Current,3.837143 ,,,,
F61,,P,0.031 s,,
    value,12.392991065979 v,,,,
K16 Off Test,,P,0.031 s,,
    Current,0.3518067 ,,,,
F47,,P,0.063 s,,
    value,0.992765188217163 v,,,,
F47 Output On,,P,0.000 s,,
K14 On Test Current,,P,0.031 s,,
    Current,3.837863 ,,,,
F47,,P,0.031 s,,
    value,12.3955745697021 v,,,,
K14 Off Test,,P,0.031 s,,
    Current,0.3511714 ,,,,
F66,,P,0.062 s,,
    value,0.979396522045135 v,,,,
F66 Output On,,P,,,
K18 On Test Current,,P,0.032 s,,
    Current,3.836722 ,,,,
F66,,P,0.047 s,,
    value,12.3945808410645 v,,,,
K18 Off Test,,P,0.016 s,,
    Current,0.3514357 ,,,,
F65,,P,0.032 s,,
    value,1.24334037303925 v,,,,
F65 Output On,,P,0.000 s,,
K24 On Test Current,,P,0.031 s,,
    Current,3.898674 ,,,,
F66,,P,0.031 s,,
    value,12.3979110717773 v,,,,
K24 Off Test,,P,0.031 s,,
    Current,0.3520976 ,,,,
F17,,P,0.031 s,,
    value,1.15115141868591 v,,,,
F17 Output On,,P,0.016 s,,
K23 On Test Current,,P,0.015 s,,
    Current,3.836747 ,,,,
F17,,P,0.031 s,,
    value,12.3944816589355 v,,,,
K23 Off Test,,P,0.031 s,,
    Current,0.3511133 ,,,,
F20 K5,,P,0.031 s,,
    value,1.1881263256073 v,,,,
F20 K5 Output On,,P,0.000 s,,
K5 On Test Current,,P,0.032 s,,
    Current,3.898565 ,,,,
F20 K5,,P,0.032 s,,
    value,12.3925933837891 v,,,,
K5 Off Test,,P,0.031 s,,
    Current,0.3518542 ,,,,
F22,,P,0.047 s,,
    value,1.26028728485107 v,,,,
F22 Output On,,P,0.000 s,,
K2 On Test Current,,P,0.015 s,,
    Current,3.904113 ,,,,
F22,,P,0.031 s,,
    value,12.3937358856201 v,,,,
K2 Off Test,,P,0.031 s,,
    Current,0.3506365 ,,,,
Diodos,,P,0.390 s,,
Conecta Vbat a Gnd,,P,0.203 s,,
Prende Relay  2 Gray Owl,,P,0.000 s,,
Prende Relay 3 Gray Owl,,P,0.203 s,,
Prueba D1,,P,0.031 s,,
D1 Output On,,P,,,
Measure D1,,P,0.031 s,,
    value,0.621524333953857 v,,,,
D1 Output Off,,P,0.000 s,,
Prueba D2,,P,0.047 s,,
D2 Output On,,P,0.016 s,,
Measure D2,,P,0.031 s,,
    value,12.1991701126099 v,,,,
D2 Output Off,,P,0.000 s,,
Conecta Gnd,,P,0.000 s,,
Apaga Relay  2 Gray Owl,,P,0.000 s,,
Apaga Relay 3 Gray Owl,,P,0.000 s,,
Voltaje Alterno Apagado,,P,0.156 s,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje PF7 Off,,P,0.062 s,,
Voltaje PF8 Off,,P,0.047 s,,
