Serial,Nest 2
Model,7370-2346
Date,5/11/2026 11:32:53 AM
Time,12.417
Description,Value,Result,Time,Details,Errors
    value,0.0765192583203316 v,,,,
K19 Off Test,,P,0.016 s,,
    Current,-0.002898987 ,,,,
F19A,,P,0.062 s,,
    value,0.0907734856009483 v,,,,
K24 GrayOwl1 Off,,P,0.047 s,,
F19A,,P,0.047 s,,
    value,12.3525352478027 v,,,,
Diode Test,,P,0.343 s,,
D1 FV Test,,P,0.063 s,,
    value,0.86594820022583 v,,,,
D1 Wiper Hi VD Test,,P,0.062 s,,
    value,0.0461564734578133 v,,,,
D2 FV Test,,P,0.047 s,,
    value,0.0645330026745796 v,,,,
D2 Wiper Hi VD Test,,P,0.062 s,,
    value,0.8513463139534 v,,,,
D1 RV Test,,P,0.047 s,,
    value,12.2542457580566 v,,,,
D2 RV Test,,P,0.062 s,,
    value,12.2176418304443 v,,,,
