Serial,Nest 1
Model,7370-2346
Date,5/11/2026 11:32:53 AM
Time,12.277
Description,Value,Result,Time,Details,Errors
measure K16,,P,0.031 s,,
    Current,0.3116561 ,,,,
F13 On K16 On,,P,0.047 s,,
    value,0.0327594764530659 v,,,,
CB1 Time Load On,,P,,,
K6 Time_on,,P,,,
    Time,3.7787 ms,,,,
K6 Time_off,,P,,,
    Time,3.0747 ms,,,,
CB1 Time Load Off,,P,,,
CB1,,P,0.047 s,,
    value,0.171917453408241 v,,,,
F66,,P,0.047 s,,
    value,0.167197719216347 v,,,,
F65,,P,0.047 s,,
    value,0.190448671579361 v,,,,
K6 Off Test,,P,0.032 s,,
    Current,-0.00326291 ,,,,
F90 F91,,P,0.062 s,,
    value,0.115330189466476 v,,,,
F92,,P,0.047 s,,
    value,0.124322548508644 v,,,,
K14 Off Test,,P,0.015 s,,
    Current,-0.003333278 ,,,,
F77,,P,0.047 s,,
    value,0.14767287671566 v,,,,
F76,,P,0.046 s,,
    value,0.1902996301651 v,,,,
F78A,,P,0.047 s,,
    value,0.126657575368881 v,,,,
F75,,P,0.063 s,,
    value,0.259853780269623 v,,,,
K8 Off Test,,P,0.016 s,,
    Current,-0.002920834 ,,,,
ConfPowerVbat1,,P,0.016 s,,
ConfPowerVbat2,,P,,,
Gray Owl Channel On,,P,0.062 s,,
ConfPowerVbat3,,P,,,
K7 Off Test,,P,0.015 s,,
    Current,0.01753696 ,,,,
K4,,P,0.281 s,,
Gray Owl Channel On,,P,0.063 s,,
F7&JC_21,,P,0.047 s,,
    value,0.354745507240295 v,,,,
F8 Cernicalo On,,P,,,
K4 Off Test,,P,0.031 s,,
    Current,0.0390398 ,,,,
Gray Owl Channel Off,,P,0.062 s,,
Gray Owl Channel Off,,P,0.063 s,,
F62 Time Load On,,P,0.000 s,,
K23 Time_on,,P,0.000 s,,
    Time,2.2827 ms,,,,
K23 Time_off,,P,0.000 s,,
    Time,2.2347 ms,,,,
F62 Time Load Off,,P,0.000 s,,
F62,,P,0.047 s,,
    value,0.124074138700962 v,,,,
K23 Off Test,,P,0.031 s,,
    Current,0.004474342 ,,,,
Gray Owl Channel On,,P,0.062 s,,
F58,,P,0.047 s,,
    value,0.296170979738235 v,,,,
K22 Off Test,,P,0.015 s,,
    Current,0.004553329 ,,,,
Gray Owl Channel Off,,P,0.063 s,,
K29 ON GRayOwl,,P,0.062 s,,
F70,,P,0.047 s,,
    value,0.132023185491562 v,,,,
K29 Off Test,,P,0.015 s,,
    Current,0.002533788 ,,,,
F9,,P,0.047 s,,
    value,0.293190091848373 v,,,,
K9 Off Test,,P,0.032 s,,
    Current,0.003418744 ,,,,
K9 COil Off,,P,0.046 s,,
K29 GRayOwl Off,,P,0.047 s,,
Gray Owl Channel On,,P,0.063 s,,
F74,,P,0.046 s,,
    value,0.286731481552124 v,,,,
Gray Owl Channel Off,,P,0.062 s,,
K33 Off Test,,P,0.015 s,,
    Current,-0.003914319 ,,,,
Gray Owl Channel Off,,P,0.062 s,,
F64 Time Load On,,P,,,
K5 Time_on,,P,,,
    Time,4.1013 ms,,,,
K5 Time_off,,P,0.000 s,,
    Time,3.0587 ms,,,,
F64 Time Load Off,,P,0.000 s,,
F64,,P,0.047 s,,
    value,0.0201403647661209 v,,,,
F56,,P,0.046 s,,
    value,0.397471636533737 v,,,,
K5 Off Test,,P,0.031 s,,
    Current,0.008596087 ,,,,
K30NA Time Load On,,P,0.000 s,,
K31 Time_on,,P,0.000 s,,
    Time,3.8640 ms,,,,
K31 Time_off,,P,,,
    Time,3.1520 ms,,,,
K30 Time_on,,P,,,
    Time,3.5760 ms,,,,
K30 Time_off,,P,0.000 s,,
    Time,3.1733 ms,,,,
K30NA Time Load Off,,P,0.000 s,,
F25,,P,0.047 s,,
    value,11.9396848678589 v,,,,
K30 K31 Wiper Hi VD Test,,P,0.062 s,,
    value,0.188461408019066 v,,,,
Wait,,P,0.031 s,,
K30 K31 Off Test,,P,0.015 s,,
    Current,-0.003109854 ,,,,
Wait1,,P,0.032 s,,
K30 K31 Off Test,,P,0.015 s,,
    Current,-0.003142574 ,,,,
F68,,P,0.047 s,,
    value,0.152641028165817 v,,,,
K27 Off Test,,P,0.015 s,,
    Current,-0.00331471 ,,,,
F36 Time Load On,,P,0.000 s,,
K10 Time_on,,P,,,
    Time,5.0827 ms,,,,
K10 Time_off,,P,0.000 s,,
    Time,2.6613 ms,,,,
F36 Time Load Off,,P,0.000 s,,
F36,,P,0.062 s,,
    value,0.0135824009776115 v,,,,
K10 Off Test,,P,0.015 s,,
    Current,-0.003475764 ,,,,
F54 Time Load On,,P,,,
K18 Time_on,,P,,,
    Time,1.6613 ms,,,,
K18 Time_off,,P,,,
    Time,2.0347 ms,,,,
F54 Time Load Off,,P,,,
K18 ON,,P,0.000 s,,
K18 On Test,,P,0.015 s,,
    Current,-0.003557029 ,,,,
F54,,P,0.063 s,,
    value,0.124223187565804 v,,,,
K18 Off Test,,P,0.015 s,,
    Current,0.9937137 ,,,,
K18 OFF,,P,,,
Dlay K20 On,,P,0.047 s,,
F43,,P,0.046 s,,
    value,12.7493944168091 v,,,,
F17,,P,0.047 s,,
    value,0.320266515016556 v,,,,
K20 Off Test,,P,0.016 s,,
    Current,-0.00281435 ,,,,
F43,,P,0.062 s,,
    value,0.643593966960907 v,,,,
F17,,P,0.047 s,,
    value,12.3494577407837 v,,,,
CONFIG COIL K3,,P,0.078 s,,
F55,,P,0.047 s,,
    value,12.8641090393066 v,,,,
K3 Off Test,,P,0.032 s,,
    Current,-0.002878736 ,,,,
Config Coil off,,P,0.062 s,,
K32-K34,,P,0.328 s,,
F73,,P,0.047 s,,
    value,0.230889439582825 v,,,,
K34 Off Test,,P,0.016 s,,
    Current,-0.001822787 ,,,,
F73,,P,0.062 s,,
    value,0.0677352771162987 v,,,,
K32 Coil GND Off,,P,0.063 s,,
k21NA Time Load On,,P,0.000 s,,
K21 Time_on,,P,,,
    Time,2.5413 ms,,,,
K21 Time_off,,P,0.000 s,,
    Time,1.8133 ms,,,,
k21NA Time Load Off,,P,0.000 s,,
K21_NA,,P,0.063 s,,
    value,0.229846134781837 v,,,,
K21 Off Test,,P,0.016 s,,
    Current,-0.003516309 ,,,,
K13 Coil GND Off,,P,0.062 s,,
K13 Time_on,,P,,,
    Time,8.0107 ms,,,,
K13 Time_off,,P,0.000 s,,
    Time,4.7653 ms,,,,
F37,,P,0.062 s,,
    value,0.122881785035133 v,,,,
F93,,P,0.047 s,,
    value,0.134805351495743 v,,,,
K13 Off Test,,P,0.015 s,,
    Current,-0.003437937 ,,,,
K13 Coil GND Off1,,P,0.078 s,,
F42 Time Load On,,P,,,
K19 Time_on,,P,0.000 s,,
    Time,2.6987 ms,,,,
K19 Time_off,,P,0.000 s,,
    Time,2.2747 ms,,,,
F42 Time Load Off,,P,0.000 s,,
F42,,P,0.047 s,,
    value,0.168936565518379 v,,,,
K19 Off Test,,P,0.015 s,,
    Current,-0.003561696 ,,,,
F19A,,P,0.047 s,,
    value,0.490922600030899 v,,,,
K24 GrayOwl1 Off,,P,0.063 s,,
F19A,,P,0.047 s,,
    value,12.3517923355103 v,,,,
Diode Test,,P,0.343 s,,
D1 FV Test,,P,0.046 s,,
    value,0.884908199310303 v,,,,
D1 Wiper Hi VD Test,,P,0.047 s,,
    value,0.0628774836659431 v,,,,
D2 FV Test,,P,0.063 s,,
    value,0.0609895847737789 v,,,,
D2 Wiper Hi VD Test,,P,0.062 s,,
    value,0.881132423877716 v,,,,
D1 RV Test,,P,0.062 s,,
    value,12.2664394378662 v,,,,
D2 RV Test,,P,0.047 s,,
    value,12.2370281219482 v,,,,
